name,lat,lon,height
Sron na Lairige,57.0860203,-3.7092591,1184.0
Tolmount,56.9044857,-3.2981435,958.0
Unnamed,56.9076836,-3.4811427,938.0
Carn Bhac SW Top,56.9261819,-3.5768816,920.0
Unnamed,56.3320039,-4.6096084,941.0
Tigh Mor na Seilge,57.2014340,-5.0836659,929.0
An Tudair,57.2676969,-5.1067349,1074.0
Tom a' Choinich Beag,57.2989643,-5.0595046,1032.0
An Leth-chreag,57.2957865,-5.0658082,1051.0
Sron Gharbh,57.2901992,-5.0802327,1131.0
Stob a'Choire Dhomhain,57.2915443,-5.0982142,1147.0
Carn na Con Dhu,57.2679578,-5.1973090,964.0
Mullach Sithidh,57.2879714,-5.1838504,974.0
Stùc Fraoch Choire,57.2768853,-5.2325821,918.0
Stob Coire Lochan,57.2963867,-5.1233395,917.0
Unnamed,57.2546442,-5.2298344,1143.0
Unnamed,57.2525410,-5.1985491,941.0
Stob Coire na Cloiche,57.2549020,-5.1918563,915.0
An Sgorr,56.6306777,-4.2174030,924.0
Fiaclach,57.7044172,-4.5251179,920.0
Cnap Coire na Spreidhe,57.1245136,-3.6320007,1150.0
Druim Mòr,56.8785873,-3.3307030,961.0
Sgurr a’Mhaoraich Beag,57.1069229,-5.3417998,948.0
Creag Coire na Fiar Bhealaich,57.0952941,-5.2252782,1006.0
Stob a' Choire Odhair,57.0790938,-5.5814410,960.0
Unnamed,56.8780108,-4.4856487,977.0
Can Ban,57.0991838,-4.2599352,945.0
Carn Dearg SE Top,57.0865897,-4.2494982,923.0
Sron Coire A'Chriochairein,56.9743632,-4.5550303,991.0
Na Gruagaichean North West Top,56.7457529,-4.9432775,1041.0
Unnamed,57.5888000,-5.3759196,929.0
Sgurr na Fearstaig,57.4491566,-4.9544932,1015.0
Coinneach Mhor,57.5832141,-5.4391412,976.0
Sron Bealach Beithe,56.8041212,-4.4593247,1065.0
Point 1048,56.7947726,-4.9388104,1048.0
Tom Na Sroine,56.8274944,-4.9387153,918.0
Stob an Chul Choire,56.8146941,-4.9453185,1068.0
Stob a'Choire Leith,56.8216634,-4.8579930,1105.0
