station_name,station_lat,station_lon,munro_name,munro_lat,munro_lon,distance_km
Kyle of Lochalsh,57.2802066,-5.7138678,Meall Buidhe,57.0315778,-5.5463111,29.49
Kyle of Lochalsh,57.2802066,-5.7138678,Luinne Bheinn,57.0490584,-5.5158336,28.39
Kyle of Lochalsh,57.2802066,-5.7138678,Sgurr an Lochain,57.1412342,-5.2975211,29.54
Kyle of Lochalsh,57.2802066,-5.7138678,Creag nan Damh,57.1472943,-5.3350112,27.26
Kyle of Lochalsh,57.2802066,-5.7138678,Sgùrr na Sgine,57.1471139,-5.3966556,24.23
Kyle of Lochalsh,57.2802066,-5.7138678,The Saddle,57.1618833,-5.4168361,22.26
Kyle of Lochalsh,57.2802066,-5.7138678,Sgùrr na Ciste Duibhe,57.1808993,-5.3369692,25.31
Kyle of Lochalsh,57.2802066,-5.7138678,Sgùrr na Càrnach,57.1891053,-5.3492041,24.25
Kyle of Lochalsh,57.2802066,-5.7138678,Sgùrr Fhuaran,57.1961624,-5.3477879,24.0
Kyle of Lochalsh,57.2802066,-5.7138678,Sàileag,57.1811067,-5.2810334,28.38
Kyle of Lochalsh,57.2802066,-5.7138678,Maol Chean-dearg,57.4918824,-5.4655696,27.91
Kyle of Lochalsh,57.2802066,-5.7138678,Sgùrr nan Ceathreamhnan,57.2549265,-5.2227914,29.76
Kyle of Lochalsh,57.2802066,-5.7138678,Beinn Sgritheall,57.1537644,-5.5796405,16.25
Kyle of Lochalsh,57.2802066,-5.7138678,Beinn Fhada,57.2210094,-5.2835503,26.8
